code,name,contact_name,phone,email,address,country,default_currency,gstin,credit_limit,is_active
1,Malabar Mart,,7025831931,,"Kanthapuram, Unnikulam PO,
Kozhikode, Pin : 673574",India,INR,,0,TRUE
2,Salala Supermarket,,,,,India,INR,,0,TRUE
3,RG Group,,,,,India,INR,,0,TRUE
4,VKM Hypermarket,,,,,India,INR,,0,TRUE
5,Happy Mart,,,,,India,INR,,0,TRUE
6,DK Properties,,,,,India,INR,,0,TRUE
7,Sharafudheen Dubai,,,,,India,INR,,0,TRUE
8,Arafa Catering,,,,,India,INR,,0,TRUE
9,Roots Bahrain,,,,,India,INR,,0,TRUE
10,Express Al Madina,,,,,India,INR,,0,TRUE
11,VKM Mart Edavanna,,,,,India,INR,,0,TRUE
12,Aqua Foenix,,974 71062825,,Doha - Qatar,India,INR,,0,TRUE
13,H-Wash Kottakkal,,,,,India,INR,,0,TRUE
14,Maloos Beuty Care,,,,,India,INR,,0,TRUE
15,Sea Star Supermarket,,92073 33340,,"Building No:6/319 E to N, 
Neerad, Kondotty Muncipality,",India,INR,,0,TRUE
16,Hasbi Foods,,,,,India,INR,,0,TRUE
17,VPT Supermarket,,,,,India,INR,,0,TRUE
18,KK Foods,,,,,India,INR,,0,TRUE
19,Puthuma Shope in one Supermarket,,90203 57387,,"Morayur, Malappuram, Pin - 673642",India,INR,,0,TRUE
20,B.N. Mart Supermarket,,9037407145,,"Ayikkarapadi, Airport Road",India,INR,,0,TRUE
21,Kwality Supermarket,,8129 706 081,,"Pulikkalody, Mampad (P.O),
Mampad, Pin : 676542",India,INR,,0,TRUE
22,Al Khaleej Dubai,,02 675 6789,,Musaffah M26 Ð Abu Dhabi,India,INR,,0,TRUE
23,Sea Star Tea Time,,7556595199,,"Building No:6/319 E to N, 
Neerad, Kondotty Muncipality,",India,INR,,0,TRUE
24,Kalathingal Home Appliance,,9846894742,,"kadambuzha Road, 
Pang - Chendi",India,INR,,0,TRUE
25,BNC Restaurant,,,,,India,INR,,0,TRUE
26,EMITECH MEP,,,,Qatar,India,INR,,0,TRUE
27,K&K Bakery,,,,KSA,India,INR,,0,TRUE
28,Hiba Hypermarket,,,,"Goodalloor
--------------",India,INR,,0,TRUE
29,Viva Club,,,,Aravankara,India,INR,,0,TRUE
30,Malabar Supermarket,,6282 731 508,,Kootilangadi,India,INR,,0,TRUE
31,Instil Commerce Acadamy,,70120 85144,,Manjeri,India,INR,,0,TRUE
32,Jinan (JN Graphics),,,,,India,INR,,0,TRUE
33,Goodwill Hypermarket,,94474 21656,,Thodupuzha,India,INR,,0,TRUE
34,Auto Plus Spare Parts,,,,,India,INR,,0,TRUE
35,Savad Dubai (Souq Al Madina),,,,,India,INR,,0,TRUE
36,RR Hypermarket,,,,"Goodalloor
--------------",India,INR,,0,TRUE
37,Quality Metal House,,,,----------------,India,INR,,0,TRUE
38,Mezza KSA,,,,"Jeddah, Saudi Arabia",India,INR,,0,TRUE
39,Sea Star Catering and Hotel,,,,----------------,India,INR,,0,TRUE
40,Target Hypermarket,,,,"Village paid, Thazhekode",India,INR,,0,TRUE
41,B&S,,,,----------------,India,INR,,0,TRUE
42,Amana Juice World,,9778464850,,"Kizhisseri, Balathilparai",India,INR,,0,TRUE
43,Batheri Supermarket,,9562302020,,"Mundithodika, Pookkottur",India,INR,,0,TRUE
44,Mannayil Traders,,99462 37927,,----------------,India,INR,,0,TRUE
45,Kenz Academy,,8086650035,,"3rd Floor TB Tower, Middle Hill, Malappuram",India,INR,,0,TRUE
46,Hafas Tourism Travels PVT,,8138818828,,"Puthukode, Malappuram, Kerala",India,INR,,0,TRUE
47,Total Market,,89716 20666,,"Arkavathy Layout, Kempegowda
Main Road, Near HP Petrol Pump, 
Hennur, Bangalore - 560043",India,INR,,0,TRUE
48,Zain Medi City,,,,----------------,India,INR,,0,TRUE
49,Fluffy Cloud Kitchen,,_+91Ê70129Ê44079_,,----------------,India,INR,,0,TRUE
50,Eevaan Builders,,,,----------------,India,INR,,0,TRUE
51,New Life Mart,,8921 052 069,,"Panamkunnu, Attasseri PO,
Palakkad - 679513",India,INR,,0,TRUE
52,Tawabil Restaurant & Catering,,966 12 802 4031,,"King Abdullah University of Science & Technology , Thuwal, Jeddah",India,INR,,0,TRUE
53,MEZZA Royal Food Products,,0494 243 4404,,"Valakkandi, Peruvallur, Kerala 673638",India,INR,,0,TRUE
54,VTMB & CO LLP,,,,"1st Floor, NK Building, Karasseri, Kozhikode, Kerala Ð 673602",India,INR,,0,TRUE
55,Walk-In Client,,,,----------------,India,INR,,0,TRUE
56,Janananma Supermarket,,,,----------------,India,INR,,0,TRUE
57,Hyper Happy Mart,,,,----------------,India,INR,,0,TRUE
